Mode,Repetition,Seed,Fold,InputPredictors,SelectedPredictors,SelectedFeatures,TrainYesBefore,TrainNoBefore,TrainYesAfterSmote,TrainNoAfterSmote,TestYes,TestNo,SmotePercentage
"FULL",8,8,8,24,10,"LOC|NFIX|LOC_ADDED|MAX_CHURN|CHANGE_SET_SIZE|AVG_CHANGE_SET_SIZE|WEIGHTED_AGE_WEEKS|MAX_LOC_DELETED|AVG_ENTROPY|NSMELLS",1119,12031,12031,12031,124,1337,975.1563896336
"FULL",8,8,9,24,10,"LOC|NFIX|MAX_LOC_ADDED|MAX_CHURN|CHANGE_SET_SIZE|AVG_CHANGE_SET_SIZE|AVG_LOC_DELETED|AVG_ENTROPY|MAX_ENTROPY|NSMELLS",1118,12032,12031,12032,125,1336,976.2075134168
"FULL",8,8,10,24,11,"LOC|NFIX|MAX_LOC_ADDED|MAX_CHURN|CHANGE_SET_SIZE|AVG_CHANGE_SET_SIZE|WEIGHTED_AGE_WEEKS|MAX_LOC_DELETED|AVG_LOC_DELETED|AVG_ENTROPY|NSMELLS",1118,12032,12031,12032,125,1336,976.2075134168
"FULL",9,9,1,24,10,"LOC|NFIX|MAX_LOC_ADDED|MAX_CHURN|CHANGE_SET_SIZE|AVG_CHANGE_SET_SIZE|MAX_LOC_DELETED|AVG_LOC_DELETED|AVG_ENTROPY|NSMELLS",1118,12031,12031,12031,125,1337,976.1180679785
"FULL",9,9,2,24,11,"LOC|NFIX|MAX_LOC_ADDED|MAX_CHURN|CHANGE_SET_SIZE|AVG_CHANGE_SET_SIZE|MAX_LOC_DELETED|AVG_LOC_DELETED|AVG_ENTROPY|MAX_ENTROPY|NSMELLS",1119,12031,12031,12031,124,1337,975.1563896336
"FULL",9,9,3,24,9,"LOC|NFIX|MAX_LOC_ADDED|MAX_CHURN|CHANGE_SET_SIZE|AVG_CHANGE_SET_SIZE|MAX_LOC_DELETED|AVG_ENTROPY|NSMELLS",1119,12031,12031,12031,124,1337,975.1563896336
"FULL",9,9,4,24,10,"LOC|NFIX|MAX_LOC_ADDED|MAX_CHURN|CHANGE_SET_SIZE|AVG_CHANGE_SET_SIZE|AVG_LOC_DELETED|AVG_ENTROPY|MAX_ENTROPY|NSMELLS",1119,12031,12031,12031,124,1337,975.1563896336
"FULL",9,9,5,24,9,"LOC|NFIX|MAX_LOC_ADDED|CHANGE_SET_SIZE|AVG_CHANGE_SET_SIZE|MAX_LOC_DELETED|AVG_ENTROPY|MAX_ENTROPY|NSMELLS",1119,12031,12031,12031,124,1337,975.1563896336
"FULL",9,9,6,24,12,"LOC|NFIX|MAX_LOC_ADDED|MAX_CHURN|AVG_CHANGE_SET_SIZE|WEIGHTED_AGE_WEEKS|LOC_DELETED|MAX_LOC_DELETED|AVG_ND|AVG_ENTROPY|MAX_ENTROPY|NSMELLS",1119,12031,12031,12031,124,1337,975.1563896336
"FULL",9,9,7,24,11,"LOC|NFIX|MAX_LOC_ADDED|MAX_CHURN|CHANGE_SET_SIZE|AVG_CHANGE_SET_SIZE|MAX_LOC_DELETED|AVG_LOC_DELETED|AVG_ENTROPY|MAX_ENTROPY|NSMELLS",1119,12031,12031,12031,124,1337,975.1563896336
"FULL",9,9,8,24,11,"LOC|NFIX|MAX_LOC_ADDED|MAX_CHURN|CHANGE_SET_SIZE|AVG_CHANGE_SET_SIZE|MAX_LOC_DELETED|AVG_LOC_DELETED|AVG_ENTROPY|MAX_ENTROPY|NSMELLS",1119,12031,12031,12031,124,1337,975.1563896336
"FULL",9,9,9,24,11,"LOC|NFIX|LOC_ADDED|MAX_CHURN|CHANGE_SET_SIZE|AVG_CHANGE_SET_SIZE|MAX_LOC_DELETED|AVG_LOC_DELETED|AVG_ENTROPY|MAX_ENTROPY|NSMELLS",1118,12032,12031,12032,125,1336,976.2075134168
"FULL",9,9,10,24,13,"LOC|NFIX|LOC_ADDED|MAX_LOC_ADDED|MAX_CHURN|CHANGE_SET_SIZE|AVG_CHANGE_SET_SIZE|WEIGHTED_AGE_WEEKS|MAX_LOC_DELETED|AVG_LOC_DELETED|AVG_ENTROPY|MAX_ENTROPY|NSMELLS",1118,12032,12031,12032,125,1336,976.2075134168
"FULL",10,10,1,24,10,"LOC|NFIX|MAX_LOC_ADDED|MAX_CHURN|CHANGE_SET_SIZE|AVG_CHANGE_SET_SIZE|AVG_LOC_DELETED|AVG_ENTROPY|MAX_ENTROPY|NSMELLS",1118,12031,12031,12031,125,1337,976.1180679785
"FULL",10,10,2,24,11,"LOC|NFIX|MAX_LOC_ADDED|MAX_CHURN|CHANGE_SET_SIZE|AVG_CHANGE_SET_SIZE|MAX_LOC_DELETED|AVG_LOC_DELETED|AVG_ENTROPY|MAX_ENTROPY|NSMELLS",1119,12031,12031,12031,124,1337,975.1563896336
"FULL",10,10,3,24,10,"LOC|NFIX|LOC_ADDED|MAX_LOC_ADDED|CHANGE_SET_SIZE|AVG_CHANGE_SET_SIZE|MAX_LOC_DELETED|AVG_ENTROPY|MAX_ENTROPY|NSMELLS",1119,12031,12031,12031,124,1337,975.1563896336
"FULL",10,10,4,24,8,"LOC|NFIX|MAX_CHURN|AVG_CHANGE_SET_SIZE|MAX_LOC_DELETED|AVG_ENTROPY|MAX_ENTROPY|NSMELLS",1119,12031,12031,12031,124,1337,975.1563896336
"FULL",10,10,5,24,10,"LOC|NFIX|MAX_LOC_ADDED|MAX_CHURN|CHANGE_SET_SIZE|AVG_CHANGE_SET_SIZE|AVG_LOC_DELETED|AVG_ENTROPY|MAX_ENTROPY|NSMELLS",1119,12031,12031,12031,124,1337,975.1563896336
"FULL",10,10,6,24,11,"LOC|NFIX|MAX_LOC_ADDED|MAX_CHURN|CHANGE_SET_SIZE|AVG_CHANGE_SET_SIZE|MAX_LOC_DELETED|AVG_LOC_DELETED|AVG_ENTROPY|MAX_ENTROPY|NSMELLS",1119,12031,12031,12031,124,1337,975.1563896336
"FULL",10,10,7,24,10,"LOC|NFIX|LOC_ADDED|MAX_CHURN|CHANGE_SET_SIZE|AVG_CHANGE_SET_SIZE|AVG_LOC_DELETED|AVG_ENTROPY|MAX_ENTROPY|NSMELLS",1119,12031,12031,12031,124,1337,975.1563896336
"FULL",10,10,8,24,10,"LOC|NFIX|MAX_LOC_ADDED|MAX_CHURN|CHANGE_SET_SIZE|AVG_CHANGE_SET_SIZE|MAX_LOC_DELETED|AVG_LOC_DELETED|AVG_ENTROPY|NSMELLS",1119,12031,12031,12031,124,1337,975.1563896336
"FULL",10,10,9,24,11,"LOC|NFIX|MAX_LOC_ADDED|MAX_CHURN|CHANGE_SET_SIZE|AVG_CHANGE_SET_SIZE|MAX_LOC_DELETED|AVG_LOC_DELETED|AVG_ENTROPY|MAX_ENTROPY|NSMELLS",1118,12032,12031,12032,125,1336,976.2075134168
"FULL",10,10,10,24,13,"LOC|LOC_TOUCHED|NFIX|MAX_LOC_ADDED|MAX_CHURN|CHANGE_SET_SIZE|AVG_CHANGE_SET_SIZE|WEIGHTED_AGE_WEEKS|MAX_LOC_DELETED|AVG_LOC_DELETED|AVG_ENTROPY|MAX_ENTROPY|NSMELLS",1118,12032,12031,12032,125,1336,976.2075134168
