Mode,Repetition,Seed,Fold,InputPredictors,SelectedPredictors,SelectedFeatures,TrainYesBefore,TrainNoBefore,TrainYesAfterSmote,TrainNoAfterSmote,TestYes,TestNo,SmotePercentage
"FULL",5,5,5,24,11,"LOC|NFIX|MAX_LOC_ADDED|MAX_CHURN|CHANGE_SET_SIZE|AVG_CHANGE_SET_SIZE|MAX_LOC_DELETED|AVG_LOC_DELETED|AVG_ENTROPY|MAX_ENTROPY|NSMELLS",1119,12031,12031,12031,124,1337,975.1563896336
"FULL",5,5,6,24,10,"LOC|NFIX|MAX_LOC_ADDED|MAX_CHURN|CHANGE_SET_SIZE|AVG_CHANGE_SET_SIZE|AVG_LOC_DELETED|AVG_ENTROPY|MAX_ENTROPY|NSMELLS",1119,12031,12031,12031,124,1337,975.1563896336
"FULL",5,5,7,24,10,"LOC|NFIX|CHURN|MAX_CHURN|CHANGE_SET_SIZE|AVG_CHANGE_SET_SIZE|AVG_LOC_DELETED|AVG_ENTROPY|MAX_ENTROPY|NSMELLS",1119,12031,12031,12031,124,1337,975.1563896336
"FULL",5,5,8,24,11,"LOC|NFIX|MAX_LOC_ADDED|MAX_CHURN|CHANGE_SET_SIZE|AVG_CHANGE_SET_SIZE|WEIGHTED_AGE_WEEKS|MAX_LOC_DELETED|AVG_LOC_DELETED|AVG_ENTROPY|NSMELLS",1119,12031,12031,12031,124,1337,975.1563896336
"FULL",5,5,9,24,11,"LOC|NFIX|CHURN|MAX_CHURN|CHANGE_SET_SIZE|AVG_CHANGE_SET_SIZE|WEIGHTED_AGE_WEEKS|MAX_LOC_DELETED|AVG_LOC_DELETED|AVG_ENTROPY|NSMELLS",1119,12031,12031,12031,124,1337,975.1563896336
"FULL",5,5,10,24,11,"LOC|NFIX|MAX_LOC_ADDED|MAX_CHURN|CHANGE_SET_SIZE|AVG_CHANGE_SET_SIZE|MAX_LOC_DELETED|AVG_LOC_DELETED|AVG_ENTROPY|MAX_ENTROPY|NSMELLS",1119,12031,12031,12031,124,1337,975.1563896336
"FULL",6,6,1,24,11,"LOC|NFIX|MAX_LOC_ADDED|MAX_CHURN|CHANGE_SET_SIZE|AVG_CHANGE_SET_SIZE|MAX_LOC_DELETED|AVG_LOC_DELETED|AVG_ENTROPY|MAX_ENTROPY|NSMELLS",1118,12031,12031,12031,125,1337,976.1180679785
"FULL",6,6,2,24,11,"LOC|NFIX|MAX_LOC_ADDED|MAX_CHURN|CHANGE_SET_SIZE|AVG_CHANGE_SET_SIZE|MAX_LOC_DELETED|AVG_LOC_DELETED|AVG_ENTROPY|MAX_ENTROPY|NSMELLS",1119,12031,12031,12031,124,1337,975.1563896336
"FULL",6,6,3,24,10,"LOC|NFIX|MAX_LOC_ADDED|MAX_CHURN|CHANGE_SET_SIZE|AVG_CHANGE_SET_SIZE|AVG_LOC_DELETED|AVG_ENTROPY|MAX_ENTROPY|NSMELLS",1119,12031,12031,12031,124,1337,975.1563896336
"FULL",6,6,4,24,10,"LOC|NFIX|MAX_LOC_ADDED|MAX_CHURN|CHANGE_SET_SIZE|AVG_CHANGE_SET_SIZE|AVG_LOC_DELETED|AVG_ENTROPY|MAX_ENTROPY|NSMELLS",1119,12031,12031,12031,124,1337,975.1563896336
"FULL",6,6,5,24,10,"LOC|LOC_TOUCHED|NFIX|MAX_LOC_ADDED|CHANGE_SET_SIZE|AVG_CHANGE_SET_SIZE|MAX_LOC_DELETED|AVG_ENTROPY|MAX_ENTROPY|NSMELLS",1119,12031,12031,12031,124,1337,975.1563896336
"FULL",6,6,6,24,11,"LOC|NFIX|LOC_ADDED|MAX_CHURN|CHANGE_SET_SIZE|AVG_CHANGE_SET_SIZE|MAX_LOC_DELETED|AVG_LOC_DELETED|AVG_ENTROPY|MAX_ENTROPY|NSMELLS",1119,12031,12031,12031,124,1337,975.1563896336
"FULL",6,6,7,24,14,"LOC|NFIX|LOC_ADDED|MAX_LOC_ADDED|MAX_CHURN|CHANGE_SET_SIZE|AVG_CHANGE_SET_SIZE|WEIGHTED_AGE_WEEKS|MAX_LOC_DELETED|AVG_LOC_DELETED|AVG_ND|AVG_ENTROPY|MAX_ENTROPY|NSMELLS",1119,12031,12031,12031,124,1337,975.1563896336
