ReleaseIndex,Version,CommitId,FilePath,RuleSet,Rule,Priority,Line,Description
1,0.9.0.1,1bcc169f5096e03a4ae117efc65c0f9bcfa2fa22,storm-core/src/jvm/backtype/storm/scheduler/Cluster.java,Design,TooManyMethods,3,11,"This class has too many methods, consider refactoring it."
1,0.9.0.1,1bcc169f5096e03a4ae117efc65c0f9bcfa2fa22,storm-core/src/jvm/backtype/storm/scheduler/SupervisorDetails.java,Design,DataClass,3,7,"The class 'SupervisorDetails' is suspected to be a Data Class (WOC=0.000%, NOPA=0, NOAM=6, WMC=11)"
1,0.9.0.1,1bcc169f5096e03a4ae117efc65c0f9bcfa2fa22,storm-core/src/jvm/backtype/storm/security/auth/digest/ClientCallbackHandler.java,Design,CognitiveComplexity,3,60,"The method 'handle(Callback[])' has a cognitive complexity of 19, current threshold is 15"
1,0.9.0.1,1bcc169f5096e03a4ae117efc65c0f9bcfa2fa22,storm-core/src/jvm/backtype/storm/security/auth/digest/ClientCallbackHandler.java,Design,CyclomaticComplexity,3,60,The method 'handle(Callback[])' has a cyclomatic complexity of 10.
1,0.9.0.1,1bcc169f5096e03a4ae117efc65c0f9bcfa2fa22,storm-core/src/jvm/backtype/storm/serialization/SerializationFactory.java,Design,CognitiveComplexity,3,32,"The method 'getKryo(Map)' has a cognitive complexity of 31, current threshold is 15"
1,0.9.0.1,1bcc169f5096e03a4ae117efc65c0f9bcfa2fa22,storm-core/src/jvm/backtype/storm/serialization/SerializationFactory.java,Design,CyclomaticComplexity,3,32,The method 'getKryo(Map)' has a cyclomatic complexity of 20.
1,0.9.0.1,1bcc169f5096e03a4ae117efc65c0f9bcfa2fa22,storm-core/src/jvm/backtype/storm/serialization/SerializationFactory.java,Design,CognitiveComplexity,3,152,"The method 'resolveSerializerInstance(Kryo, Class, Class<? extends Serializer>, Map)' has a cognitive complexity of 22, current threshold is 15"
1,0.9.0.1,1bcc169f5096e03a4ae117efc65c0f9bcfa2fa22,storm-core/src/jvm/backtype/storm/spout/ShellSpout.java,Design,CognitiveComplexity,3,79,"The method 'querySubprocess(Object)' has a cognitive complexity of 21, current threshold is 15"
1,0.9.0.1,1bcc169f5096e03a4ae117efc65c0f9bcfa2fa22,storm-core/src/jvm/backtype/storm/spout/ShellSpout.java,Design,CyclomaticComplexity,3,79,The method 'querySubprocess(Object)' has a cyclomatic complexity of 11.
1,0.9.0.1,1bcc169f5096e03a4ae117efc65c0f9bcfa2fa22,storm-core/src/jvm/backtype/storm/spout/ShellSpout.java,Design,AvoidDeeplyNestedIfStmts,3,100,Deeply nested if..then statements are hard to read
1,0.9.0.1,1bcc169f5096e03a4ae117efc65c0f9bcfa2fa22,storm-core/src/jvm/backtype/storm/task/OutputCollector.java,Design,TooManyMethods,3,14,"This class has too many methods, consider refactoring it."
