ReleaseIndex,Version,CommitId,FilePath,LOC_TOUCHED,NR,NAUTH,LOC_ADDED,MAX_LOC_ADDED,AVG_LOC_ADDED,CHURN,MAX_CHURN,AVG_CHURN,CHANGE_SET_SIZE,MAX_CHANGE_SET,AVG_CHANGE_SET,AGE_WEEKS,WEIGHTED_AGE_WEEKS
1,0.9.0.1,1bcc169f5096e03a4ae117efc65c0f9bcfa2fa22,storm-core/src/jvm/backtype/storm/drpc/LinearDRPCTopologyBuilder.java,0,1,1,0,0,0.0,0,0,0.0,559,559,559.0,33.285714285714285,33.285714285714285
1,0.9.0.1,1bcc169f5096e03a4ae117efc65c0f9bcfa2fa22,storm-core/src/jvm/backtype/storm/drpc/PrepareRequest.java,0,1,1,0,0,0.0,0,0,0.0,559,559,559.0,33.285714285714285,33.285714285714285
1,0.9.0.1,1bcc169f5096e03a4ae117efc65c0f9bcfa2fa22,storm-core/src/jvm/backtype/storm/drpc/ReturnResults.java,0,1,1,0,0,0.0,0,0,0.0,559,559,559.0,33.285714285714285,33.285714285714285
1,0.9.0.1,1bcc169f5096e03a4ae117efc65c0f9bcfa2fa22,storm-core/src/jvm/backtype/storm/grouping/CustomStreamGrouping.java,0,1,1,0,0,0.0,0,0,0.0,559,559,559.0,33.285714285714285,33.285714285714285
1,0.9.0.1,1bcc169f5096e03a4ae117efc65c0f9bcfa2fa22,storm-core/src/jvm/backtype/storm/hooks/BaseTaskHook.java,0,1,1,0,0,0.0,0,0,0.0,559,559,559.0,33.285714285714285,33.285714285714285
1,0.9.0.1,1bcc169f5096e03a4ae117efc65c0f9bcfa2fa22,storm-core/src/jvm/backtype/storm/hooks/ITaskHook.java,0,1,1,0,0,0.0,0,0,0.0,559,559,559.0,33.285714285714285,33.285714285714285
1,0.9.0.1,1bcc169f5096e03a4ae117efc65c0f9bcfa2fa22,storm-core/src/jvm/backtype/storm/hooks/info/BoltAckInfo.java,0,1,1,0,0,0.0,0,0,0.0,559,559,559.0,33.285714285714285,33.285714285714285
1,0.9.0.1,1bcc169f5096e03a4ae117efc65c0f9bcfa2fa22,storm-core/src/jvm/backtype/storm/hooks/info/BoltExecuteInfo.java,0,1,1,0,0,0.0,0,0,0.0,559,559,559.0,33.285714285714285,33.285714285714285
1,0.9.0.1,1bcc169f5096e03a4ae117efc65c0f9bcfa2fa22,storm-core/src/jvm/backtype/storm/hooks/info/BoltFailInfo.java,0,1,1,0,0,0.0,0,0,0.0,559,559,559.0,33.285714285714285,33.285714285714285
1,0.9.0.1,1bcc169f5096e03a4ae117efc65c0f9bcfa2fa22,storm-core/src/jvm/backtype/storm/hooks/info/EmitInfo.java,0,1,1,0,0,0.0,0,0,0.0,559,559,559.0,33.285714285714285,33.285714285714285
1,0.9.0.1,1bcc169f5096e03a4ae117efc65c0f9bcfa2fa22,storm-core/src/jvm/backtype/storm/hooks/info/SpoutAckInfo.java,0,1,1,0,0,0.0,0,0,0.0,559,559,559.0,33.285714285714285,33.285714285714285
1,0.9.0.1,1bcc169f5096e03a4ae117efc65c0f9bcfa2fa22,storm-core/src/jvm/backtype/storm/hooks/info/SpoutFailInfo.java,0,1,1,0,0,0.0,0,0,0.0,559,559,559.0,33.285714285714285,33.285714285714285
1,0.9.0.1,1bcc169f5096e03a4ae117efc65c0f9bcfa2fa22,storm-core/src/jvm/backtype/storm/messaging/IConnection.java,0,1,1,0,0,0.0,0,0,0.0,559,559,559.0,33.285714285714285,33.285714285714285
1,0.9.0.1,1bcc169f5096e03a4ae117efc65c0f9bcfa2fa22,storm-core/src/jvm/backtype/storm/messaging/IContext.java,0,1,1,0,0,0.0,0,0,0.0,559,559,559.0,33.285714285714285,33.285714285714285
1,0.9.0.1,1bcc169f5096e03a4ae117efc65c0f9bcfa2fa22,storm-core/src/jvm/backtype/storm/messaging/TaskMessage.java,116,5,3,58,25,11.6,0,21,0.0,588,559,117.6,33.285714285714285,29.928571428571423
1,0.9.0.1,1bcc169f5096e03a4ae117efc65c0f9bcfa2fa22,storm-core/src/jvm/backtype/storm/messaging/TransportFactory.java,0,1,1,0,0,0.0,0,0,0.0,559,559,559.0,33.285714285714285,33.285714285714285
1,0.9.0.1,1bcc169f5096e03a4ae117efc65c0f9bcfa2fa22,storm-core/src/jvm/backtype/storm/metric/LoggingMetricsConsumer.java,55,1,1,55,55,55.0,55,55,55.0,3,3,3.0,19.714285714285715,19.71428571428572
1,0.9.0.1,1bcc169f5096e03a4ae117efc65c0f9bcfa2fa22,storm-core/src/jvm/backtype/storm/metric/MetricsConsumerBolt.java,0,1,1,0,0,0.0,0,0,0.0,559,559,559.0,33.285714285714285,33.285714285714285
1,0.9.0.1,1bcc169f5096e03a4ae117efc65c0f9bcfa2fa22,storm-core/src/jvm/backtype/storm/metric/SystemBolt.java,4,3,3,2,1,0.6666666666666666,0,0,0.0,561,559,187.0,33.285714285714285,20.357142857142858
1,0.9.0.1,1bcc169f5096e03a4ae117efc65c0f9bcfa2fa22,storm-core/src/jvm/backtype/storm/metric/api/AssignableMetric.java,0,1,1,0,0,0.0,0,0,0.0,559,559,559.0,33.285714285714285,33.285714285714285
