IssueKey,ReleaseIndex,Version,CommitId,FilePath,MappingStrategy,EffectiveIV,FV,IVSource,FVSource,BlamedFilePath,FixedFilePath
STORM-297,1,0.9.0.1,1bcc169f5096e03a4ae117efc65c0f9bcfa2fa22,storm-netty/src/jvm/backtype/storm/messaging/netty/Context.java,GIT_RENAME_LINEAGE,1,3,PROPORTION_TOTAL,JIRA_FIX_VERSION,storm-core/src/jvm/backtype/storm/messaging/netty/Context.java,storm-core/src/jvm/backtype/storm/messaging/netty/Context.java
STORM-297,1,0.9.0.1,1bcc169f5096e03a4ae117efc65c0f9bcfa2fa22,storm-netty/src/jvm/backtype/storm/messaging/netty/Server.java,GIT_RENAME_LINEAGE,1,3,PROPORTION_TOTAL,JIRA_FIX_VERSION,storm-core/src/jvm/backtype/storm/messaging/netty/Server.java,storm-core/src/jvm/backtype/storm/messaging/netty/Server.java
STORM-297,1,0.9.0.1,1bcc169f5096e03a4ae117efc65c0f9bcfa2fa22,storm-netty/src/jvm/backtype/storm/messaging/netty/StormClientHandler.java,GIT_RENAME_LINEAGE,1,3,PROPORTION_TOTAL,JIRA_FIX_VERSION,storm-core/src/jvm/backtype/storm/messaging/netty/StormClientHandler.java,storm-core/src/jvm/backtype/storm/messaging/netty/StormClientErrorHandler.java
STORM-297,1,0.9.0.1,1bcc169f5096e03a4ae117efc65c0f9bcfa2fa22,storm-netty/src/jvm/backtype/storm/messaging/netty/StormClientPipelineFactory.java,GIT_RENAME_LINEAGE,1,3,PROPORTION_TOTAL,JIRA_FIX_VERSION,storm-core/src/jvm/backtype/storm/messaging/netty/StormClientPipelineFactory.java,storm-core/src/jvm/backtype/storm/messaging/netty/StormClientPipelineFactory.java
STORM-297,1,0.9.0.1,1bcc169f5096e03a4ae117efc65c0f9bcfa2fa22,storm-netty/src/jvm/backtype/storm/messaging/netty/StormServerHandler.java,GIT_RENAME_LINEAGE,1,3,PROPORTION_TOTAL,JIRA_FIX_VERSION,storm-core/src/jvm/backtype/storm/messaging/netty/StormServerHandler.java,storm-core/src/jvm/backtype/storm/messaging/netty/StormServerHandler.java
STORM-328,1,0.9.0.1,1bcc169f5096e03a4ae117efc65c0f9bcfa2fa22,storm-core/src/jvm/backtype/storm/Config.java,EXACT_BLAMED_PATH,1,4,JIRA_AFFECTED_VERSION,JIRA_FIX_VERSION,storm-core/src/jvm/backtype/storm/Config.java,storm-core/src/jvm/backtype/storm/Config.java
STORM-328,1,0.9.0.1,1bcc169f5096e03a4ae117efc65c0f9bcfa2fa22,storm-core/src/jvm/backtype/storm/utils/Utils.java,EXACT_BLAMED_PATH,1,4,JIRA_AFFECTED_VERSION,JIRA_FIX_VERSION,storm-core/src/jvm/backtype/storm/utils/Utils.java,storm-core/src/jvm/backtype/storm/utils/Utils.java
STORM-342,1,0.9.0.1,1bcc169f5096e03a4ae117efc65c0f9bcfa2fa22,storm-core/src/jvm/backtype/storm/utils/DisruptorQueue.java,EXACT_BLAMED_PATH,1,3,PROPORTION_TOTAL,JIRA_FIX_VERSION,storm-core/src/jvm/backtype/storm/utils/DisruptorQueue.java,storm-core/src/jvm/backtype/storm/utils/DisruptorQueue.java
STORM-346,1,0.9.0.1,1bcc169f5096e03a4ae117efc65c0f9bcfa2fa22,storm-core/src/jvm/backtype/storm/Config.java,EXACT_BLAMED_PATH,1,7,PROPORTION_TOTAL,JIRA_FIX_VERSION,storm-core/src/jvm/backtype/storm/Config.java,storm-core/src/jvm/backtype/storm/Config.java
STORM-347,1,0.9.0.1,1bcc169f5096e03a4ae117efc65c0f9bcfa2fa22,storm-core/src/jvm/backtype/storm/Config.java,EXACT_BLAMED_PATH,1,7,PROPORTION_TOTAL,JIRA_FIX_VERSION,storm-core/src/jvm/backtype/storm/Config.java,storm-core/src/jvm/backtype/storm/Config.java
STORM-347,1,0.9.0.1,1bcc169f5096e03a4ae117efc65c0f9bcfa2fa22,storm-core/src/jvm/backtype/storm/security/auth/AuthUtils.java,EXACT_BLAMED_PATH,1,7,PROPORTION_TOTAL,JIRA_FIX_VERSION,storm-core/src/jvm/backtype/storm/security/auth/AuthUtils.java,storm-core/src/jvm/backtype/storm/security/auth/AuthUtils.java
STORM-348,1,0.9.0.1,1bcc169f5096e03a4ae117efc65c0f9bcfa2fa22,storm-netty/src/jvm/backtype/storm/messaging/netty/Client.java,GIT_RENAME_LINEAGE,1,7,PROPORTION_TOTAL,JIRA_FIX_VERSION,storm-core/src/jvm/backtype/storm/messaging/netty/Client.java,storm-core/src/jvm/backtype/storm/messaging/netty/Client.java
